Año;Hombres;Mujeres;Fuente
1908;10.22;10.83;Human Mortality Database (HMD)
1909;9.73;10.17;Human Mortality Database (HMD)
1910;9.8;10.5;Human Mortality Database (HMD)
1911;9.86;10.49;Human Mortality Database (HMD)
1912;10.06;10.63;Human Mortality Database (HMD)
1913;9.86;10.71;Human Mortality Database (HMD)
1914;9.71;10.4;Human Mortality Database (HMD)
1915;9.91;10.8;Human Mortality Database (HMD)
1916;10.03;11.07;Human Mortality Database (HMD)
1917;9.6;10.42;Human Mortality Database (HMD)
1918;8.99;9.53;Human Mortality Database (HMD)
1919;9.51;10.36;Human Mortality Database (HMD)
1920;9.79;10.77;Human Mortality Database (HMD)
1921;9.99;11.08;Human Mortality Database (HMD)
1922;10.03;11.1;Human Mortality Database (HMD)
1923;9.96;11.05;Human Mortality Database (HMD)
1924;10.14;11.45;Human Mortality Database (HMD)
1925;10.04;11.37;Human Mortality Database (HMD)
1926;10.47;11.96;Human Mortality Database (HMD)
1927;10.14;11.42;Human Mortality Database (HMD)
1928;10.61;12.18;Human Mortality Database (HMD)
1929;10.52;11.93;Human Mortality Database (HMD)
1930;10.85;12.47;Human Mortality Database (HMD)
1931;10.43;11.76;Human Mortality Database (HMD)
1932;10.72;12.25;Human Mortality Database (HMD)
1933;10.8;12.26;Human Mortality Database (HMD)
1934;10.8;12.28;Human Mortality Database (HMD)
1935;11.04;12.62;Human Mortality Database (HMD)
1936;10.86;12.98;Human Mortality Database (HMD)
1937;10.17;12.23;Human Mortality Database (HMD)
1938;9.28;11.38;Human Mortality Database (HMD)
1939;9.68;11.66;Human Mortality Database (HMD)
1940;10.54;12.67;Human Mortality Database (HMD)
1941;9.05;11.46;Human Mortality Database (HMD)
1942;10.71;12.59;Human Mortality Database (HMD)
1943;11.78;13.66;Human Mortality Database (HMD)
1944;11.63;13.6;Human Mortality Database (HMD)
1945;12.16;14.23;Human Mortality Database (HMD)
1946;11.3;13.69;Human Mortality Database (HMD)
1947;11.79;13.81;Human Mortality Database (HMD)
1948;12.57;14.73;Human Mortality Database (HMD)
1949;12.01;14.15;Human Mortality Database (HMD)
